# bin,count
0,2113930
1,655973
2,771418
3,393163
4,446283
5,255740
6,269480
7,177717
8,181693
9,130683
10,136472
11,103084
12,104345
13,83592
14,82182
15,69785
16,67231
17,57691
18,55728
19,48502
20,48880
21,42157
22,42063
23,37159
24,36534
25,33422
26,32435
27,29944
28,28703
29,26003
30,26650
31,23347
32,23809
33,21804
34,21391
35,20160
36,19567
37,18298
38,17841
39,16392
40,17019
41,15335
42,15471
43,14334
44,14250
45,13720
46,13267
47,12546
48,12429
49,11309
50,12202
51,10732
52,11184
53,10618
54,10339
55,9731
56,9762
57,9230
58,9101
59,8523
60,9198
61,8146
62,8587
63,7754
64,8124
65,7682
66,7624
67,7196
68,7177
69,6602
70,7200
71,6326
72,6699
73,6203
74,6209
75,6051
76,5994
77,5810
78,5745
79,5267
80,5835
81,5274
82,5457
83,5015
84,5080
85,5010
86,4887
87,4822
88,4714
89,4365
90,4723
91,4225
92,4493
93,4107
94,4255
95,4033
96,4223
97,3918
98,3788
99,3250
100,4246
101,3424
102,3832
103,3376
104,3696
105,3437
106,3584
107,3461
108,3406
109,3150
110,3408
111,3053
112,3237
113,3060
114,3117
115,3106
116,3002
117,2980
118,2840
119,2703
120,2933
121,2691
122,2811
123,2686
124,2747
125,2608
126,2727
127,2598
128,2596
129,2504
130,2506
131,2457
132,2447
133,2347
134,2466
135,2389
136,2339
137,2313
138,2255
139,2113
140,2319
141,2213
142,2242
143,2159
144,2166
145,2106
146,2097
147,1986
148,2009
149,1890
150,2017
151,1877
152,2063
153,1797
154,1880
155,1856
156,1894
157,1857
158,1816
159,1710
160,1843
161,1668
162,1780
163,1788
164,1717
165,1642
166,1687
167,1670
168,1646
169,1465
170,1635
171,1512
172,1681
173,1437
174,1557
175,1518
176,1457
177,1464
178,1452
179,1402
180,1467
181,1394
182,1468
183,1346
184,1432
185,1393
186,1431
187,1306
188,1392
189,1359
190,1448
191,1238
192,1316
193,1236
194,1393
195,1235
196,1224
197,1225
198,1255
199,1027
200,1347
201,1046
202,1259
203,1122
204,1177
205,1112
206,1169
207,1023
208,1165
209,1104
210,1113
211,1030
212,1059
213,1095
214,1061
215,1046
216,1015
217,1035
218,1056
219,1047
220,1069
221,950
222,1056
223,994
224,995
225,999
226,989
227,994
228,978
229,912
230,946
231,917
232,965
233,950
234,924
235,886
236,915
237,895
238,874
239,844
240,947
241,901
242,908
243,857
244,915
245,843
246,916
247,859
248,827
249,777
250,855
251,801
252,865
253,775
254,794
255,839
256,747
257,772
258,747
259,713
260,798
261,750
262,779
263,753
264,752
265,793
266,787
267,763
268,735
269,653
270,790
271,716
272,746
273,728
274,729
275,650
276,736
277,648
278,674
279,682
280,658
281,649
282,624
283,604
284,712
285,646
286,630
287,645
288,638
289,618
290,665
291,641
292,653
293,615
294,630
295,609
296,608
297,603
298,586
299,533
300,715
301,553
302,641
303,593
304,651
305,589
306,630
307,574
308,553
309,572
310,603
311,553
312,573
313,560
314,563
315,547
316,537
317,546
318,573
319,497
320,597
321,500
322,572
323,531
324,540
325,546
326,544
327,559
328,537
329,517
330,492
331,519
332,531
333,490
334,499
335,466
336,532
337,522
338,479
339,454
340,497
341,460
342,474
343,436
344,462
345,463
346,493
347,436
348,445
349,438
350,497
351,450
352,518
353,465
354,475
355,393
356,479
357,446
358,417
359,417
360,470
361,448
362,455
363,432
364,450
365,395
366,457
367,465
368,405
369,393
370,439
371,384
372,406
373,409
374,424
375,414
376,410
377,399
378,418
379,350
380,418
381,426
382,423
383,385
384,428
385,377
386,431
387,372
388,406
389,356
390,427
391,396
392,420
393,389
394,417
395,345
396,363
397,370
398,354
399,343
400,432
401,346
402,384
403,349
404,350
405,378
406,371
407,378
408,337
409,347
410,362
411,343
412,358
413,333
414,355
415,313
416,355
417,359
418,360
419,324
420,363
421,344
422,332
423,326
424,351
425,356
426,327
427,362
428,327
429,330
430,312
431,329
432,352
433,312
434,337
435,318
436,281
437,290
438,283
439,325
440,336
441,297
442,304
443,304
444,260
445,312
446,291
447,284
448,326
449,297
450,317
451,307
452,294
453,295
454,317
455,295
456,309
457,292
458,277
459,295
460,237
461,302
462,276
463,269
464,283
465,288
466,302
467,274
468,291
469,276
470,271
471,289
472,276
473,244
474,259
475,276
476,274
477,257
478,305
479,261
480,275
481,245
482,273
483,247
484,285
485,244
486,274
487,247
488,257
489,266
490,256
491,251
492,253
493,270
494,293
495,248
496,229
497,257
498,219
499,233
500,310
501,253
502,271
503,252
504,277
505,225
506,234
507,221
508,245
509,232
510,240
511,233
512,276
513,231
514,250
515,244
516,238
517,236
518,233
519,250
520,268
521,238
522,251
523,225
524,224
525,257
526,216
527,242
528,207
529,246
530,225
531,207
532,230
533,200
534,241
535,219
536,230
537,204
538,207
539,216
540,189
541,212
542,214
543,228
544,221
545,232
546,228
547,206
548,224
549,192
550,215
551,194
552,199
553,191
554,207
555,193
556,225
557,199
558,191
559,206
560,230
561,184
562,182
563,219
564,183
565,195
566,198
567,190
568,243
569,195
570,213
571,169
572,198
573,202
574,181
575,214
576,215
577,177
578,229
579,219
580,170
581,184
582,160
583,164
584,208
585,212
586,196
587,178
588,177
589,179
590,184
591,180
592,203
593,187
594,210
595,186
596,176
597,191
598,192
599,175
600,214
601,167
602,192
603,163
604,164
605,182
606,208
607,173
608,166
609,144
610,191
611,161
612,201
613,170
614,191
615,208
616,171
617,153
618,176
619,172
620,174
621,169
622,156
623,153
624,178
625,170
626,172
627,170
628,166
629,171
630,175
631,148
632,178
633,151
634,159
635,147
636,160
637,166
638,167
639,141
640,177
641,160
642,167
643,143
644,134
645,173
646,155
647,156
648,182
649,145
650,168
651,159
652,156
653,147
654,147
655,151
656,145
657,144
658,136
659,146
660,150
661,144
662,166
663,126
664,150
665,156
666,163
667,138
668,164
669,121
670,173
671,157
672,153
673,145
674,168
675,148
676,147
677,137
678,135
679,150
680,140
681,143
682,148
683,150
684,167
685,136
686,131
687,138
688,135
689,130
690,148
691,129
692,126
693,129
694,132
695,147
696,151
697,140
698,115
699,131
700,138
701,121
702,129
703,138
704,147
705,130
706,149
707,131
708,150
709,125
710,152
711,145
712,123
713,151
714,129
715,141
716,121
717,149
718,141
719,131
720,129
721,128
722,134
723,128
724,139
725,123
726,136
727,128
728,131
729,123
730,149
731,113
732,126
733,130
734,120
735,126
736,121
737,116
738,118
739,101
740,152
741,110
742,138
743,119
744,124
745,129
746,128
747,130
748,109
749,114
750,117
751,121
752,110
753,123
754,124
755,132
756,118
757,107
758,134
759,130
760,118
761,99
762,129
763,117
764,129
765,124
766,108
767,126
768,124
769,103
770,132
771,121
772,100
773,114
774,99
775,114
776,119
777,105
778,112
779,105
780,115
781,121
782,115
783,104
784,110
785,110
786,119
787,103
788,99
789,110
790,123
791,104
792,104
793,99
794,113
795,103
796,114
797,112
798,122
799,94
800,122
801,105
802,118
803,111
804,114
805,91
806,95
807,96
808,99
809,80
810,133
811,108
812,97
813,101
814,104
815,110
816,107
817,104
818,120
819,111
820,107
821,84
822,106
823,105
824,92
825,129
826,88
827,117
828,106
829,90
830,105
831,103
832,95
833,94
