# bin,count
0,539336
1,915739
2,850891
3,1153926
4,930114
5,467379
6,276273
7,214086
8,175906
9,149821
10,159550
11,114123
12,99469
13,89164
14,79745
15,70048
16,59137
17,53389
18,49232
19,46688
20,47573
21,44814
22,43245
23,48021
24,46136
25,35665
26,31477
27,30364
28,33420
29,33678
30,27676
31,22200
32,20351
33,19155
34,18269
35,18317
36,16760
37,15891
38,15425
39,15169
40,15222
41,15015
42,16635
43,18166
44,19806
45,18216
46,17059
47,15287
48,13238
49,12812
50,11273
51,10300
52,10439
53,9333
54,9134
55,9025
56,8785
57,9507
58,11112
59,24160
