# bin,count
0,101267
10,170952
20,180932
30,166774
40,152526
50,140369
60,128746
70,119429
80,112394
90,104351
100,97673
110,90914
120,85671
130,81089
140,77723
150,74451
160,71197
170,68724
180,65944
190,63790
200,61811
210,59663
220,57612
230,56238
240,54622
250,52512
260,51571
270,50180
280,49271
290,47872
300,45576
310,44249
320,42716
330,41159
340,40293
350,38639
360,38034
370,36918
380,35572
390,34861
400,33731
410,32816
420,32406
430,31751
440,30986
450,30434
460,29302
470,29117
480,28734
490,27970
500,26989
510,26516
520,26567
530,25924
540,25396
550,24844
560,24645
570,23991
580,23674
590,23405
600,22999
610,22781
620,22199
630,22200
640,21688
650,20421
660,19987
670,19671
680,19269
690,19221
700,19021
710,18842
720,18678
730,18520
740,18057
750,18013
760,17558
770,17368
780,17331
790,17013
800,17159
810,16644
820,16459
830,16337
840,16003
850,15989
860,15568
870,15303
880,15223
890,14861
900,14562
910,14758
920,14451
930,14298
940,14217
950,13705
960,13849
970,13745
980,13542
990,13376
1000,13481
1010,13115
1020,12976
1030,12519
1040,12760
1050,12490
1060,12626
1070,12422
1080,12336
1090,12125
1100,11991
1110,12054
1120,11749
1130,11614
1140,11694
1150,11386
1160,11463
1170,11419
1180,11334
1190,11278
1200,10932
1210,10953
1220,10719
1230,10613
1240,10507
1250,10579
1260,10352
1270,10314
1280,10304
1290,10141
1300,9938
1310,10229
1320,10032
1330,9803
1340,9735
1350,10008
1360,9568
1370,9723
1380,9321
1390,9384
1400,9395
1410,9333
1420,9256
1430,9330
1440,9081
1450,8922
1460,8907
1470,8883
1480,8743
1490,8736
1500,8600
1510,8389
1520,8434
1530,8234
1540,8393
1550,8391
1560,8205
1570,8253
1580,8001
1590,8103
1600,8017
1610,8034
1620,7740
1630,7818
1640,7827
1650,7621
1660,7612
1670,7522
1680,7431
1690,7388
1700,7537
1710,7548
1720,7466
1730,7370
1740,7290
1750,7284
1760,7309
1770,7221
1780,7073
1790,7211
1800,6839
1810,7048
1820,6961
1830,6979
1840,6886
1850,6792
1860,6729
1870,6741
1880,6558
1890,6701
1900,6645
1910,6691
1920,6482
1930,6538
1940,6537
1950,6442
1960,6216
1970,6342
1980,6392
1990,6157
2000,6234
2010,6225
2020,6241
2030,6157
2040,5929
2050,6020
2060,5990
2070,5949
2080,5772
2090,5853
2100,5700
2110,5552
2120,5676
2130,5641
2140,5583
2150,5507
2160,5425
2170,5550
2180,5512
2190,5405
2200,5526
2210,5449
2220,5484
2230,5424
2240,5327
2250,5319
2260,5184
2270,5190
2280,5178
2290,5165
2300,5215
2310,5173
2320,5169
2330,5022
2340,5061
2350,5018
2360,4997
2370,5001
2380,4956
2390,4904
2400,4891
2410,5007
2420,4865
2430,4784
2440,4767
2450,4808
2460,4644
2470,4666
2480,4731
2490,4786
2500,4676
2510,4705
2520,4554
2530,4767
2540,4746
2550,4493
2560,4575
2570,4553
2580,4564
2590,4608
2600,4387
2610,4441
2620,4462
2630,4339
2640,4481
2650,4410
2660,4351
2670,4358
2680,4306
2690,4309
2700,4357
2710,4249
2720,4302
2730,4185
2740,4108
2750,4170
2760,4169
2770,4285
2780,4151
2790,4111
2800,4026
2810,4051
2820,4023
2830,4114
2840,4111
2850,3985
2860,4013
2870,3874
2880,3958
2890,3960
2900,3922
2910,3888
2920,3800
2930,3801
2940,3842
2950,3772
2960,3830
2970,3844
2980,3733
2990,3763
3000,3686
3010,3588
3020,3667
3030,3572
3040,3566
3050,3560
3060,3466
3070,3522
3080,3499
3090,3527
3100,3460
3110,3379
3120,3453
3130,3403
3140,3388
3150,3380
3160,3282
3170,3451
3180,3395
3190,3353
3200,3334
3210,3292
3220,3285
3230,3301
3240,3300
3250,3290
3260,3264
3270,3280
3280,3275
3290,3300
3300,3313
3310,3161
3320,3188
3330,3174
3340,3124
3350,3166
3360,3285
3370,3252
3380,3224
3390,3174
3400,3097
3410,3103
3420,2997
3430,3108
3440,3008
3450,3109
3460,3073
3470,3050
3480,2927
3490,3033
3500,2944
3510,2959
3520,3021
3530,2991
3540,2987
3550,2991
3560,2894
3570,2998
3580,2876
3590,2963
3600,2940
3610,2949
3620,2871
3630,2832
3640,2833
3650,2869
3660,2845
3670,2763
3680,2881
3690,2734
3700,2772
3710,2837
3720,2736
3730,2705
3740,2718
3750,2761
3760,2795
3770,2652
3780,2753
3790,2730
3800,2677
3810,2679
3820,2641
3830,2658
3840,2663
3850,2737
3860,2609
3870,2570
3880,2655
3890,2694
3900,2575
3910,2548
3920,2552
3930,2622
3940,2494
3950,2660
3960,2505
3970,2607
3980,2504
3990,2431
4000,2448
4010,2541
4020,2481
4030,2555
4040,2535
4050,2557
4060,2370
4070,2488
4080,2427
4090,2490
4100,2425
4110,2353
4120,2393
4130,2405
4140,2330
4150,2440
4160,2303
4170,2437
4180,2366
4190,2366
4200,2424
4210,2371
4220,2361
4230,2272
4240,2342
4250,2193
4260,2220
4270,2214
4280,2364
4290,2379
4300,2270
4310,2227
4320,2356
4330,2261
4340,2297
4350,2203
4360,2187
4370,2151
4380,2211
4390,2305
4400,2121
4410,2256
4420,2240
4430,2227
4440,2243
4450,2094
4460,2225
4470,2170
4480,2216
4490,2118
4500,2083
4510,1996
4520,1978
4530,2029
4540,1930
4550,2025
4560,2016
4570,1972
4580,2031
4590,1957
4600,1888
4610,1928
4620,1967
4630,1964
4640,1955
4650,1917
4660,1936
4670,1924
4680,1883
4690,1913
4700,1924
4710,1925
4720,1976
4730,1915
4740,1869
4750,1822
4760,1924
4770,1866
4780,1870
4790,1856
4800,1891
4810,1891
4820,1954
4830,1915
4840,1895
4850,1806
4860,1875
4870,1949
4880,1905
4890,1827
4900,1783
4910,1851
4920,1859
4930,1816
4940,1808
4950,1813
4960,1890
4970,1851
4980,1709
4990,1842
5000,1779
5010,1743
5020,1731
5030,1771
5040,1713
5050,1655
5060,1784
5070,1765
5080,1774
5090,1714
5100,1830
5110,1774
5120,1774
5130,1751
5140,1710
5150,1756
5160,1771
5170,1783
5180,1677
5190,1721
5200,1711
5210,1674
5220,1744
5230,1720
5240,1640
5250,1652
5260,1770
5270,1734
5280,1595
5290,1764
5300,1608
5310,1712
5320,1678
5330,1652
5340,1639
5350,1687
5360,1647
5370,1574
5380,1628
5390,1644
5400,1644
5410,1664
5420,1619
5430,1513
5440,1646
5450,1592
5460,1586
5470,1649
5480,1634
5490,1585
5500,1647
5510,1596
5520,1557
5530,1572
5540,1526
5550,1569
5560,1500
5570,1527
5580,1623
5590,1562
5600,1507
5610,1541
5620,1554
5630,1500
5640,1528
5650,1509
5660,1497
5670,1500
5680,1525
5690,1462
5700,1495
5710,1454
5720,1558
5730,1574
5740,1495
5750,1479
5760,1473
5770,1492
5780,1499
5790,1483
5800,1499
5810,1485
5820,1534
5830,1444
5840,1434
5850,1522
5860,1430
5870,1422
5880,1440
5890,1390
